Thu Mar 27 18:53:06 2025    profile_results.prof

         3342 function calls (3328 primitive calls) in 3.015 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pathlib.py:515(_from_parsed_parts)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pathlib.py:765(__truediv__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:658(formatMessage)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:432(usesTime)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.11/dist-packages/codecarbon/emissions_tracker.py:394(start)
        5    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:123(getLevelName)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pathlib.py:1008(stat)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:1152(name)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/_array_api.py:397(astype)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
       13    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/_array_api.py:315(_check_device_cpu)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/base.py:612(__sklearn_tags__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/enum.py:1095(__new__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/validation.py:2370(_get_feature_names)
        1    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/_array_api.py:131(_single_array_device)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/configparser.py:1296(_options)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/_param_validation.py:595(<genexpr>)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:271(__enter__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/contextlib.py:299(helper)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:397(abspath)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/validation.py:731(_is_extension_array_dtype)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:447(format)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/validation.py:1394(_check_y)
       11    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/utils/_param_validation.py:262(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/numpy/_core/numeric.py:1424(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/inspect.py:3261(signature)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:790(items)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:237(_releaseLock)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:778(__contains__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.11/configparser.py:1293(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.11/threading.py:1168(ident)
        9    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x93d380}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.11/dist-packages/sklearn/base.py:1183(__sklearn_tags__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/configparser.py:1380(__iter__)
        2    0.000    0.000    0.000    0.000 {built-in method _signal.signal}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.11/pathlib.py:987(check_eloop)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.11/logging/__init__.py:368(getMessage)
