CO2 Emissions: 0.005140697641224397 kg
Peak Memory Usage: 3056.34765625 MB

Profile Stats:
         36904374 function calls (34790896 primitive calls) in 865.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   403627    1.169    0.000    1.169    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/context.py:1170(executing_eagerly)
     1844    0.044    0.000    1.148    0.001 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/ops.py:2642(_create_op_internal)
1129561/1129449    1.142    0.000    1.148    0.000 {built-in method builtins.getattr}
    76523    0.138    0.000    1.144    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/nest_util.py:615(flatten)
    19006    0.216    0.000    1.139    0.000 /usr/local/lib/python3.11/dist-packages/keras/src/backend/common/dtypes.py:281(result_type)
    18776    0.454    0.000    1.130    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/function_context.py:39(make_function_context)
       40    0.001    0.000    1.126    0.028 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/dataset_ops.py:488(__iter__)
  196/174    0.003    0.000    1.120    0.006 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/variables.py:195(__call__)
       46    0.001    0.000    1.119    0.024 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/iterator_ops.py:670(__init__)
       40    0.002    0.000    1.118    0.028 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/ops/iterator_ops.py:713(_create_iterator)
    18802    0.226    0.000    1.115    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/tensor.py:1098(cast)
       22    0.001    0.000    1.096    0.050 /usr/local/lib/python3.11/dist-packages/keras/src/backend/common/variables.py:91(__init__)
       22    0.000    0.000    1.095    0.050 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/core.py:46(_initialize_with_initializer)
       22    0.000    0.000    1.095    0.050 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/core.py:37(_initialize)
       40    0.000    0.000    1.094    0.027 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/gen_dataset_ops.py:3460(make_iterator)
  196/174    0.001    0.000    1.094    0.006 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/variables.py:1202(_variable_call)
    66/22    0.000    0.000    1.093    0.050 /usr/local/lib/python3.11/dist-packages/tensorflow/python/ops/variables.py:58(getter)
    44/22    0.000    0.000    1.093    0.050 /usr/local/lib/python3.11/dist-packages/tensorflow/python/distribute/distribute_lib.py:3974(creator)
       22    0.000    0.000    1.092    0.050 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/polymorphic_function.py:677(variable_capturing_scope)
       22    0.002    0.000    1.091    0.050 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/polymorphic_function.py:219(__init__)
    18776    0.054    0.000    1.082    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/util/nest.py:69(pack_sequence_as)
    37668    0.270    0.000    1.075    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/data/util/structure.py:279(get_flat_tensor_specs)
       10    0.000    0.000    1.060    0.106 /usr/local/lib/python3.11/dist-packages/keras/src/callbacks/callback_list.py:139(on_epoch_end)
    19144    0.044    0.000    1.060    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/nest_util.py:729(pack_sequence_as)
75040/18760    0.431    0.000    1.059    0.000 /usr/local/lib/python3.11/dist-packages/tensorflow/python/framework/type_spec.py:609(__make_cmp_key)
